country,year,avg_funders
SA,2016,1.5
SA,2017,1.7142857142857142
SA,2018,1.4666666666666666
SA,2019,1.169811320754717
SA,2020,1.2179487179487178
SA,2021,1.1236559139784945
SA,2022,1.0950155763239875
SA,2023,1.056338028169014
SC,2021,4.0
SD,2019,3.0
SD,2021,2.0
SD,2022,1.0
SD,2023,1.0
SE,2015,1.0
SE,2016,2.142857142857143
SE,2017,2.0
SE,2018,2.1818181818181817
SE,2019,2.6715542521994133
SE,2020,2.7906976744186047
SE,2021,2.5263852242744065
SE,2022,2.4840579710144928
SE,2023,2.618279569892473
SG,2015,2.2
SG,2016,1.5294117647058822
SG,2017,1.7857142857142858
SG,2018,1.9365079365079365
SG,2019,2.1503759398496243
SG,2020,2.5055555555555555
SG,2021,2.056179775280899
SG,2022,2.138996138996139
SG,2023,1.7307692307692308
SI,2016,4.333333333333333
SI,2017,1.0
SI,2018,1.4285714285714286
SI,2019,1.65
SI,2020,1.4782608695652173
SI,2021,1.5315315315315314
SI,2022,1.4205607476635513
SI,2023,1.2702702702702702
SK,2017,2.5
SK,2018,2.1666666666666665
SK,2019,2.235294117647059
SK,2020,2.272727272727273
SK,2021,2.093220338983051
SK,2022,2.0952380952380953
SK,2023,1.8484848484848484
SL,2021,1.0
SL,2022,2.0
SN,2020,1.0
SN,2021,1.0
SN,2022,1.0
SN,2023,1.0
SO,2022,1.0
SR,2022,1.0
SS,2017,1.0
SS,2019,1.0
SS,2021,4.0
SS,2022,2.0
ST,2021,3.0
SV,2021,6.0
SY,2019,9.5
SY,2020,1.0
SY,2021,1.2
SY,2022,1.0
SY,2023,2.0
SZ,2022,11.0
TD,2022,1.0
TH,2015,1.0
TH,2016,2.5
TH,2017,1.7142857142857142
TH,2018,1.4705882352941178
TH,2019,1.6021505376344085
TH,2020,1.9145299145299146
TH,2021,1.8461538461538463
TH,2022,1.5708955223880596
TH,2023,1.7802197802197801
TJ,2020,1.0
TJ,2021,1.75
TJ,2022,1.0
TN,2016,1.0
TN,2017,1.0
TN,2018,1.5
TN,2019,3.0
TN,2020,1.7142857142857142
TN,2021,2.6363636363636362
TN,2022,1.8333333333333333
TN,2023,1.5
TR,2016,1.0
TR,2017,2.0
TR,2018,1.2203389830508475
TR,2019,1.2876712328767124
TR,2020,1.3160621761658031
TR,2021,1.2326388888888888
TR,2022,1.323076923076923
TR,2023,1.6875
TT,2021,1.0
TT,2022,1.0
TW,2015,2.5
TW,2016,1.875
TW,2017,1.6363636363636365
TW,2018,1.8926829268292682
TW,2019,1.9805825242718447
TW,2020,1.825242718446602
TW,2021,1.8240343347639485
TW,2022,1.8087222647283856
TW,2023,1.7290969899665551
TZ,2018,1.0
TZ,2019,1.625
TZ,2020,1.0
TZ,2021,1.8
TZ,2022,1.7666666666666666
TZ,2023,1.5
UA,2018,1.5
UA,2019,2.0
UA,2020,1.1
