organ,c1,c2,period_start,period_end,collab_count
heart,IT,US,2020,2024,256
heart,DE,GB,2020,2024,197
heart,NL,US,2020,2024,195
heart,GB,IT,2020,2024,192
heart,JP,US,2020,2024,175
heart,AU,US,2020,2024,162
heart,GB,NL,2020,2024,155
heart,ES,US,2020,2024,152
heart,FR,US,2020,2024,147
heart,BR,US,2020,2024,140
heart,DE,IT,2020,2024,139
heart,DE,NL,2020,2024,139
heart,CA,GB,2020,2024,132
heart,IN,US,2020,2024,123
heart,IT,NL,2020,2024,121
heart,AU,GB,2020,2024,119
heart,KR,US,2020,2024,117
heart,SE,US,2020,2024,110
heart,DK,US,2020,2024,108
heart,CH,DE,2020,2024,104
heart,CH,US,2020,2024,104
heart,FR,GB,2020,2024,99
heart,ES,GB,2020,2024,92
heart,BE,US,2020,2024,90
heart,DE,FR,2020,2024,89
heart,FR,IT,2020,2024,88
heart,ES,IT,2020,2024,88
heart,CN,GB,2020,2024,85
heart,CH,IT,2020,2024,80
heart,DK,GB,2020,2024,79
heart,GB,SE,2020,2024,76
heart,AT,DE,2020,2024,74
heart,BR,PT,2020,2024,70
heart,CH,GB,2020,2024,70
heart,PL,US,2020,2024,68
heart,BR,GB,2020,2024,68
heart,SG,US,2020,2024,65
heart,CA,DE,2020,2024,65
heart,CA,FR,2020,2024,63
heart,GR,US,2020,2024,63
heart,BE,IT,2020,2024,59
heart,PT,US,2020,2024,59
heart,ES,NL,2020,2024,58
heart,DE,ES,2020,2024,56
heart,IL,US,2020,2024,53
heart,BE,NL,2020,2024,53
lung,CN,US,2010,2014,2
lung,EG,US,2010,2014,1
lung,GR,US,2010,2014,1
lung,GB,GR,2010,2014,1
lung,CH,PL,2010,2014,1
lung,CA,US,2010,2014,1
lung,JP,US,2010,2014,1
lung,CN,US,2015,2019,164
lung,GB,US,2015,2019,96
lung,CA,US,2015,2019,79
lung,DE,US,2015,2019,67
lung,AU,US,2015,2019,64
lung,KR,US,2015,2019,50
lung,NL,US,2015,2019,46
lung,FR,US,2015,2019,46
lung,JP,US,2015,2019,43
lung,AU,GB,2015,2019,38
lung,BR,US,2015,2019,38
lung,IT,US,2015,2019,38
lung,DE,GB,2015,2019,35
lung,IN,US,2015,2019,35
lung,GB,NL,2015,2019,35
lung,ES,US,2015,2019,33
lung,CA,GB,2015,2019,33
lung,GB,IT,2015,2019,31
lung,ES,GB,2015,2019,28
lung,SE,US,2015,2019,28
lung,CH,US,2015,2019,27
lung,AU,CA,2015,2019,25
lung,CH,GB,2015,2019,23
lung,DK,US,2015,2019,23
lung,AU,CN,2015,2019,22
lung,CN,TW,2015,2019,21
lung,CA,CN,2015,2019,20
lung,DE,IT,2015,2019,20
lung,GB,SE,2015,2019,20
lung,CH,DE,2015,2019,19
lung,CN,DE,2015,2019,19
lung,CN,KR,2015,2019,18
lung,FR,NL,2015,2019,18
lung,CN,GB,2015,2019,18
lung,DE,FR,2015,2019,18
lung,FR,IT,2015,2019,17
lung,IL,US,2015,2019,17
lung,DE,ES,2015,2019,16
lung,CA,FR,2015,2019,16
lung,DE,NL,2015,2019,16
lung,SG,US,2015,2019,15
lung,AU,NL,2015,2019,14
lung,ES,FR,2015,2019,14
lung,FR,GB,2015,2019,14
lung,DK,GB,2015,2019,13
lung,CA,NL,2015,2019,13
lung,CA,CH,2015,2019,13
lung,BE,NL,2015,2019,12
lung,TH,US,2015,2019,12
lung,TW,US,2015,2019,12
lung,CN,US,2020,2024,716
lung,GB,US,2020,2024,334
lung,CA,US,2020,2024,291
lung,JP,US,2020,2024,226
lung,DE,US,2020,2024,219
lung,KR,US,2020,2024,194
lung,IT,US,2020,2024,186
lung,AU,US,2020,2024,164
lung,IN,US,2020,2024,150
lung,FR,US,2020,2024,150
lung,ES,US,2020,2024,147
lung,NL,US,2020,2024,127
lung,BR,US,2020,2024,120
lung,DE,GB,2020,2024,111
lung,GB,IT,2020,2024,109
lung,CH,US,2020,2024,107
lung,CN,GB,2020,2024,106
lung,CN,TW,2020,2024,105
lung,FR,GB,2020,2024,96
lung,CA,GB,2020,2024,92
lung,FR,IT,2020,2024,91
lung,DE,FR,2020,2024,91
lung,AU,GB,2020,2024,90
lung,CN,JP,2020,2024,87
lung,ES,GB,2020,2024,82
lung,CH,DE,2020,2024,80
lung,CN,DE,2020,2024,74
lung,DE,IT,2020,2024,74
lung,CA,FR,2020,2024,72
lung,TW,US,2020,2024,70
lung,CA,CN,2020,2024,68
lung,ES,FR,2020,2024,68
lung,AU,CN,2020,2024,67
lung,BE,US,2020,2024,67
lung,CH,IT,2020,2024,67
lung,ES,IT,2020,2024,66
lung,GB,NL,2020,2024,64
lung,DE,ES,2020,2024,62
lung,CA,DE,2020,2024,61
lung,SE,US,2020,2024,60
lung,DE,NL,2020,2024,54
lung,CN,KR,2020,2024,54
lung,DK,US,2020,2024,52
lung,CH,GB,2020,2024,52
lung,AU,CA,2020,2024,51
lung,BR,PT,2020,2024,50
lung,CH,FR,2020,2024,48
lung,GB,IN,2020,2024,46
lung,BE,GB,2020,2024,46
lung,FR,NL,2020,2024,45
kidney,KR,US,2010,2014,2
kidney,PL,US,2010,2014,1
kidney,GB,US,2010,2014,1
kidney,GR,US,2010,2014,1
kidney,GB,GR,2010,2014,1
kidney,IT,US,2010,2014,1
kidney,AT,KR,2010,2014,1
kidney,BR,CA,2010,2014,1
kidney,CN,JP,2010,2014,1
kidney,CN,KR,2010,2014,1
kidney,AU,GB,2010,2014,1
kidney,GB,IT,2010,2014,1
kidney,CN,US,2015,2019,112
kidney,CA,US,2015,2019,62
kidney,GB,US,2015,2019,56
kidney,DE,US,2015,2019,43
kidney,KR,US,2015,2019,36
kidney,IT,US,2015,2019,32
kidney,AU,US,2015,2019,32
kidney,JP,US,2015,2019,32
kidney,FR,US,2015,2019,31
kidney,AU,GB,2015,2019,30
kidney,NL,US,2015,2019,27
kidney,IN,US,2015,2019,24
kidney,DE,NL,2015,2019,22
kidney,DE,GB,2015,2019,20
kidney,CH,DE,2015,2019,20
kidney,FR,GB,2015,2019,20
kidney,GB,NL,2015,2019,17
kidney,ES,US,2015,2019,17
kidney,DK,US,2015,2019,16
kidney,CH,US,2015,2019,16
kidney,CA,GB,2015,2019,16
kidney,GB,IT,2015,2019,15
kidney,CH,IT,2015,2019,14
kidney,BR,US,2015,2019,14
kidney,GB,SE,2015,2019,12
kidney,SE,US,2015,2019,12
kidney,AT,DE,2015,2019,12
kidney,TH,US,2015,2019,12
kidney,CN,IT,2015,2019,11
kidney,DE,IT,2015,2019,11
kidney,DE,ES,2015,2019,11
kidney,CA,CN,2015,2019,11
kidney,GB,JP,2015,2019,11
kidney,ET,KR,2015,2019,11
kidney,TW,US,2015,2019,11
kidney,CN,NL,2015,2019,10
