inst_a,country_a,inst_b,country_b,collab_count
Gulf Medical University,AE,Management and Science University,MY,1
Higher Colleges of Technology,AE,Universiti Putra Malaysia,MY,1
Rochester Institute of Technology - Dubai,AE,Universiti Sains Islam Malaysia,MY,1
Rochester Institute of Technology - Dubai,AE,Universiti Tunku Abdul Rahman,MY,1
Rochester Institute of Technology - Dubai,AE,University of Kuala Lumpur,MY,1
Rochester Institute of Technology - Dubai,AE,University of Malaya,MY,1
United Arab Emirates University,AE,Perdana University,MY,1
United Arab Emirates University,AE,University of Technology Malaysia,MY,1
University of Sharjah,AE,Lincoln University College,MY,1
University of Sharjah,AE,Universiti Sains Malaysia,MY,1
Al Ain University of Science and Technology,AE,Bauchi State University,NG,1
Khalifa University of Science and Technology,AE,National Center for Technology Management,NG,1
Khalifa University of Science and Technology,AE,Obafemi Awolowo University,NG,1
Mohammed Bin Rashid University of Medicine and Health Sciences,AE,French Institute for Research in Africa,NG,1
Abu Dhabi Health Services,AE,Leiden University Medical Center,NL,2
