country,year,author_count
IT,2023,3351
JE,2017,1
JE,2022,4
JM,2017,1
JM,2018,1
JM,2019,5
JM,2020,9
JM,2021,5
JM,2022,8
JM,2023,2
JO,2016,1
JO,2017,13
JO,2018,28
JO,2019,56
JO,2020,119
JO,2021,116
JO,2022,199
JO,2023,57
JP,2012,1
JP,2013,4
JP,2014,102
JP,2015,119
JP,2016,360
JP,2017,1454
JP,2018,2758
JP,2019,3943
JP,2020,5336
JP,2021,7227
JP,2022,9159
JP,2023,2900
KE,2014,1
KE,2016,4
KE,2017,10
KE,2018,13
KE,2019,26
KE,2020,39
KE,2021,52
KE,2022,40
KE,2023,10
KG,2018,1
KG,2019,1
KG,2020,3
KG,2021,7
KG,2022,18
KG,2023,4
KH,2015,1
KH,2016,3
KH,2017,3
KH,2018,4
KH,2019,17
KH,2020,16
KH,2021,35
KH,2022,38
KH,2023,10
KN,2017,1
KN,2018,5
KN,2019,2
KN,2020,4
KN,2021,8
KN,2022,8
KN,2023,3
KR,2008,1
KR,2012,2
KR,2014,341
KR,2015,259
KR,2016,736
KR,2017,1569
KR,2018,2381
KR,2019,3480
KR,2020,5094
KR,2021,6143
KR,2022,6761
KR,2023,1924
KW,2016,1
KW,2017,5
KW,2018,15
KW,2019,15
KW,2020,39
KW,2021,31
KW,2022,44
KW,2023,10
KY,2020,1
KY,2023,1
KZ,2017,4
KZ,2018,9
KZ,2019,18
KZ,2020,32
KZ,2021,32
KZ,2022,84
KZ,2023,18
LA,2020,2
LA,2021,2
LB,2015,1
LB,2016,6
LB,2017,25
LB,2018,30
LB,2019,55
LB,2020,71
LB,2021,104
LB,2022,143
LB,2023,17
LC,2018,1
LC,2021,1
LC,2022,2
LI,2022,2
LK,2016,6
LK,2017,15
LK,2018,24
LK,2019,31
LK,2020,53
LK,2021,71
LK,2022,69
LK,2023,24
LS,2022,1
LT,2015,1
LT,2016,9
LT,2017,7
LT,2018,28
LT,2019,45
LT,2020,68
LT,2021,103
LT,2022,135
