iri,pref_label,type
http://purl.obolibrary.org/obo/PCL_0015064,inh l2-5 pvalb rph3al,CT
http://purl.obolibrary.org/obo/CL_0009089,lung pericyte,CT
http://purl.obolibrary.org/obo/CL_0009113,t follicular regulatory cell,CT
http://purl.obolibrary.org/obo/CL_1000344,paneth,CT
http://purl.obolibrary.org/obo/CL_1000344,paneth cell,CT
http://purl.obolibrary.org/obo/CL_0000545,t helper,CT
http://purl.obolibrary.org/obo/CL_0000545,th1 cell,CT
https://purl.org/ccf/ASCTB-TEMP_cge288,cge_288,CT
http://purl.obolibrary.org/obo/CL_0009083,double negative thymocyte 4,CT
https://purl.org/ccf/ASCTB-TEMP_ca4190,ca4_190,CT
https://purl.org/ccf/ASCTB-TEMP_dec205-dc,dec205+ dc,CT
http://purl.obolibrary.org/obo/CL_0000625,cd8+ t cell,CT
https://purl.org/ccf/ASCTB-TEMP_dlit149,dlit_149,CT
https://purl.org/ccf/ASCTB-TEMP_epen69,epen_69,CT
http://purl.obolibrary.org/obo/CL_0000793,surface intraepithelial cd4+ lymphocyte,CT
http://purl.obolibrary.org/obo/CL_1001111,descending thin limb cell,CT
https://purl.org/ccf/ASCTB-TEMP_thex458,thex_458,CT
https://purl.org/ccf/ASCTB-TEMP_ca13182,ca13_182,CT
http://purl.obolibrary.org/obo/CL_1000692,fibroblast,CT
http://purl.obolibrary.org/obo/CL_4023060,hippocampal ca1-3 neuron,CT
http://purl.obolibrary.org/obo/CL_0002088,interstitial cell of cajal,CT
http://purl.obolibrary.org/obo/CL_0002088,interstitial cells of cajal,CT
http://purl.obolibrary.org/obo/PCL_0015078,exc l3 lamp5 carm1p1,CT
http://purl.obolibrary.org/obo/PCL_0015116,exc l5-6 fezf2 ifng-as1,CT
http://purl.obolibrary.org/obo/CL_0011005,gabaergic interneuron,CT
http://purl.obolibrary.org/obo/PCL_0015013,inh l1-2 vip wnt4,CT
https://purl.org/ccf/ASCTB-TEMP_splat369,splat_369,CT
http://purl.obolibrary.org/obo/CL_0000037,hematopoetic stem cell,CT
http://purl.obolibrary.org/obo/CL_0000037,hemopoietic stem cell (hsc),CT
http://purl.obolibrary.org/obo/CL_0001078,group 3 innate lymphoid cell,CT
http://purl.obolibrary.org/obo/CL_0001078,innate lymphoid cell (type 3),CT
http://purl.obolibrary.org/obo/CL_0000242,merkel cell,CT
http://purl.obolibrary.org/obo/CL_0000242,merkel,CT
http://purl.obolibrary.org/obo/PCL_0015040,inh l1-6 sst npy (sst chodl),CT
http://purl.obolibrary.org/obo/CL_0000900,cd8 naive,CT
http://purl.obolibrary.org/obo/CL_0000900,"naive thymus-derived cd8-positive, alpha-beta t cell",CT
http://purl.obolibrary.org/obo/CL_0000900,naive cd8+ t cell,CT
http://purl.obolibrary.org/obo/CL_0002573,nerve,CT
http://purl.obolibrary.org/obo/CL_0002573,nerve/schwann cell,CT
http://purl.obolibrary.org/obo/CL_0002573,schwann cell,CT
https://purl.org/ccf/ASCTB-TEMP_splat340,splat_340,CT
http://purl.obolibrary.org/obo/CL_1000309,adipocyte,CT
http://purl.obolibrary.org/obo/PCL_0015105,exc l6 fezf2 ffar4,CT
http://purl.obolibrary.org/obo/CL_4033031,diffuse bipolar 4 cell,CT
http://purl.obolibrary.org/obo/CL_0000749,on bipolar cell,CT
http://purl.obolibrary.org/obo/CL_1000695,m2-macrophage,CT
http://purl.obolibrary.org/obo/PCL_0015004,inh l1-6 lamp5 nes,CT
https://purl.org/ccf/ASCTB-TEMP_chrp81,chrp_81,CT
http://purl.obolibrary.org/obo/CL_0000094,granulocyte,CT
https://purl.org/ccf/ASCTB-TEMP_splenic-perifollicular-zone-macrophage,splenic perifollicular zone macrophage,CT
http://purl.obolibrary.org/obo/CL_0000751,rod bipolar cell,CT
http://purl.obolibrary.org/obo/PCL_0015090,exc l3-5 rorb lnx2,CT
http://purl.obolibrary.org/obo/CL_4028003,cap2 aerocyte capillary acap,CT
http://purl.obolibrary.org/obo/PCL_0015047,inh l2-3 sst nmu,CT
http://purl.obolibrary.org/obo/PCL_0015112,exc l3-5 fezf2 linc01107,CT
https://purl.org/ccf/ASCTB-TEMP_midi443,midi_443,CT
https://purl.org/ccf/ASCTB-TEMP_cbi306,cbi_306,CT
http://purl.obolibrary.org/obo/CL_2000053,splenic endothelial cell,CT
https://purl.org/ccf/ASCTB-TEMP_mgl6,mgl_6,CT
http://purl.obolibrary.org/obo/CL_4030020,connecting tubule intercalated cell type a,CT
http://purl.obolibrary.org/obo/CL_4030010,proximal tubule epithelial cell segment 2,CT
http://purl.obolibrary.org/obo/CL_1000348,basal cell of epithelium of trachea,CT
http://purl.obolibrary.org/obo/PCL_0015024,inh l1-3 vip fndc1,CT
http://purl.obolibrary.org/obo/CL_0009105,t cell zone reticular cell,CT
http://purl.obolibrary.org/obo/CL_0002597,smooth muscle,CT
http://purl.obolibrary.org/obo/CL_0019032,tuft cell,CT
https://purl.org/ccf/ASCTB-TEMP_chrp79,chrp_79,CT
http://purl.obolibrary.org/obo/CL_0000909,non-cytotoxic cd8+ memory t cell,CT
http://purl.obolibrary.org/obo/CL_0000909,memory cd8+ t cell,CT
http://purl.obolibrary.org/obo/CL_0000909,cd8 t cell memory,CT
http://purl.obolibrary.org/obo/CL_0000909,cd8+ t memory,CT
http://purl.obolibrary.org/obo/CL_0004252,medium-field cell,CT
http://purl.obolibrary.org/obo/CL_0000561,amacrine cell,CT
http://purl.obolibrary.org/obo/CL_4033027,diffuse bipolar 1 (db1),CT
http://purl.obolibrary.org/obo/CL_1000715,cortical collecting duct intercalated cell type a,CT
http://purl.obolibrary.org/obo/CL_1000715,cortical collecting duct intercalated cell type b,CT
https://purl.org/ccf/ASCTB-TEMP_chorionic-mesenchymal-stromal-cell-cmsc-,chorionic mesenchymal stromal cell (cmsc),CT
https://purl.org/ccf/ASCTB-TEMP_lrl317,lrl_317,CT
http://purl.obolibrary.org/obo/CL_0002363,keratocyte,CT
http://purl.obolibrary.org/obo/CL_0000359,smooth muscle cell,CT
http://purl.obolibrary.org/obo/CL_0000359,vascular smooth muscle cells,CT
http://purl.obolibrary.org/obo/CL_0000359,vascular smooth muscle cell,CT
http://purl.obolibrary.org/obo/CL_0000359,perivascular smooth muscle cell,CT
http://purl.obolibrary.org/obo/PCL_0015065,inh l3 pvalb samd13,CT
https://purl.org/ccf/ASCTB-TEMP_splat416,splat_416,CT
http://purl.obolibrary.org/obo/CL_0002068,purkinje fiber cell,CT
http://purl.obolibrary.org/obo/CL_0002255,endometrial stromal cell,CT
http://purl.obolibrary.org/obo/CL_0009081,double negative thymocyte 2,CT
http://purl.obolibrary.org/obo/PCL_0015048,inh l5-6 sst pawr,CT
http://purl.obolibrary.org/obo/CL_0017004,telocyte (interstitial like cell of cajal),CT
http://purl.obolibrary.org/obo/CL_0017004,telocyte,CT
http://purl.obolibrary.org/obo/CL_0004219,a2 cell,CT
http://purl.obolibrary.org/obo/CL_4030015,collecting duct intercalated cell type a,CT
https://purl.org/ccf/ASCTB-TEMP_amex408,amex_408,CT
http://purl.obolibrary.org/obo/CL_0000787,memory-like b cell,CT
http://purl.obolibrary.org/obo/CL_0000787,memory b cell,CT
