s_iri,relationship,t_iri
https://purl.org/ccf/ASCTB-TEMP_subserous-vein-of-colon,part_of,https://purl.org/ccf/ASCTB-TEMP_vena-recta-of-large-intestine
https://purl.org/ccf/ASCTB-TEMP_uterine-smooth-muscle-type-i-cell,located_in,https://purl.org/ccf/ASCTB-TEMP_left-anterior-fundus-of-uterus
http://purl.obolibrary.org/obo/CL_0001035,located_in,https://purl.org/ccf/ASCTB-TEMP_jugular-foramen-of-petrous-part-of-temporal-bone
http://purl.obolibrary.org/obo/CL_0000057,located_in,http://purl.org/sig/ont/fma/fma50560
http://purl.obolibrary.org/obo/CL_0000071,located_in,http://purl.org/sig/ont/fma/fma14818
http://purl.obolibrary.org/obo/PCL_0015041,located_in,http://purl.obolibrary.org/obo/UBERON_0000956
https://purl.org/ccf/ASCTB-TEMP_cd44,characterize,http://purl.obolibrary.org/obo/CL_0000036
http://purl.obolibrary.org/obo/UBERON_0035225,part_of,http://purl.obolibrary.org/obo/UBERON_0001627
http://purl.obolibrary.org/obo/CL_0000897,located_in,http://purl.obolibrary.org/obo/UBERON_0002106
http://purl.org/sig/ont/fma/fma70471,part_of,http://purl.obolibrary.org/obo/UBERON_0001194
https://purl.org/ccf/ASCTB-TEMP_inferior-articular-facet-of-fifth-cervical-vertebra,part_of,http://purl.obolibrary.org/obo/UBERON_0004614
http://purl.obolibrary.org/obo/CL_0000359,located_in,http://purl.org/sig/ont/fma/fma3990
https://purl.org/ccf/ASCTB-TEMP_msn208,located_in,http://purl.obolibrary.org/obo/UBERON_0000955
http://purl.obolibrary.org/obo/CL_1000454,located_in,http://purl.obolibrary.org/obo/UBERON_0002113
http://purl.obolibrary.org/obo/CL_0000972,located_in,http://purl.obolibrary.org/obo/UBERON_0003988
http://identifiers.org/hgnc/19254,characterize,http://purl.obolibrary.org/obo/CL_0000899
http://purl.obolibrary.org/obo/CL_0000540,located_in,http://purl.org/sig/ont/fma/fma65653
https://purl.org/ccf/ASCTB-TEMP_pericyte-cell-of-ureter,located_in,http://purl.obolibrary.org/obo/UBERON_0001253
https://purl.org/ccf/ASCTB-TEMP_serous-membrane-lining-of-mesosalpinx,part_of,http://purl.obolibrary.org/obo/UBERON_0012331
http://purl.obolibrary.org/obo/CL_0002592,located_in,http://purl.org/sig/ont/fma/fma76767
http://identifiers.org/hgnc/53175,characterize,https://purl.org/ccf/ASCTB-TEMP_ulit123
http://purl.obolibrary.org/obo/CL_0000041,located_in,http://purl.obolibrary.org/obo/UBERON_0004989
http://purl.obolibrary.org/obo/CL_4033008,located_in,http://purl.obolibrary.org/obo/UBERON_0000065
http://purl.obolibrary.org/obo/CL_0000071,located_in,http://purl.obolibrary.org/obo/UBERON_0006687
http://purl.obolibrary.org/obo/CL_0000071,located_in,https://purl.org/ccf/ASCTB-TEMP_anterior-radicular-vein
http://identifiers.org/hgnc/1633,characterize,http://purl.obolibrary.org/obo/CL_0000815
http://purl.obolibrary.org/obo/CL_0000071,located_in,https://purl.org/ccf/ASCTB-TEMP_cavernosal-artery
http://purl.obolibrary.org/obo/PCL_0015030,is_a,http://purl.obolibrary.org/obo/CL_0000000
http://purl.org/sig/ont/fma/fma53324,part_of,http://purl.org/sig/ont/fma/fma53310
http://purl.obolibrary.org/obo/PCL_0015117,located_in,http://purl.obolibrary.org/obo/UBERON_0019264
http://purl.obolibrary.org/obo/CL_0000071,located_in,http://purl.org/sig/ont/fma/fma8617
https://purl.org/ccf/ASCTB-TEMP_non-articular-facet-of-tubercle-of-eighth-rib,part_of,http://purl.obolibrary.org/obo/UBERON_0010757
http://purl.obolibrary.org/obo/CL_0000503,located_in,http://purl.obolibrary.org/obo/UBERON_0002512
https://purl.org/ccf/ASCTB-TEMP_stroma-type-i-cell,is_a,http://purl.obolibrary.org/obo/CL_0000000
http://purl.obolibrary.org/obo/CL_0001035,located_in,http://purl.obolibrary.org/obo/UBERON_0004609
http://identifiers.org/hgnc/18111,characterize,http://purl.obolibrary.org/obo/CL_0000942
http://identifiers.org/hgnc/6024,characterize,http://purl.obolibrary.org/obo/CL_0000767
http://purl.org/sig/ont/fma/fma3823,part_of,http://purl.obolibrary.org/obo/UBERON_0002078
http://purl.obolibrary.org/obo/UBERON_0009984,part_of,http://purl.obolibrary.org/obo/UBERON_0009980
https://purl.org/ccf/ASCTB-TEMP_posterior-lateral-nasal-branch-of-sphenopalatine-artery,part_of,http://purl.org/sig/ont/fma/fma49804
http://identifiers.org/hgnc/52844,characterize,https://purl.org/ccf/ASCTB-TEMP_dlnp96
http://purl.org/sig/ont/fma/fma4498,part_of,http://purl.obolibrary.org/obo/UBERON_0002345
https://purl.org/ccf/ASCTB-TEMP_spinous-process-of-fourth-thoracic-vertebra,part_of,http://purl.obolibrary.org/obo/UBERON_0004629
https://purl.org/ccf/ASCTB-TEMP_hypothenar-hand-muscle,part_of,http://purl.obolibrary.org/obo/UBERON_0001499
http://identifiers.org/hgnc/6149,characterize,http://purl.obolibrary.org/obo/CL_0000235
http://purl.obolibrary.org/obo/UBERON_0008594,part_of,https://purl.org/ccf/ASCTB-TEMP_muscle-of-facial-expression
http://purl.obolibrary.org/obo/PCL_0015091,located_in,http://purl.obolibrary.org/obo/UBERON_0001870
http://purl.obolibrary.org/obo/CL_0001035,located_in,http://purl.obolibrary.org/obo/UBERON_0001105
http://identifiers.org/hgnc/27405,characterize,https://purl.org/ccf/ASCTB-TEMP_dlit141
http://purl.obolibrary.org/obo/UBERON_0032748,part_of,http://purl.obolibrary.org/obo/UBERON_0029503
https://purl.org/ccf/ASCTB-TEMP_dlit147,located_in,http://purl.obolibrary.org/obo/UBERON_0019264
https://purl.org/ccf/ASCTB-TEMP_llc272,located_in,http://purl.obolibrary.org/obo/UBERON_0000955
http://purl.obolibrary.org/obo/CL_0000542,located_in,http://purl.org/sig/ont/fma/fma7272
http://identifiers.org/hgnc/44222,characterize,https://purl.org/ccf/ASCTB-TEMP_misc401
http://identifiers.org/hgnc/9459,characterize,http://purl.obolibrary.org/obo/CL_0009108
http://identifiers.org/hgnc/13542,characterize,https://purl.org/ccf/ASCTB-TEMP_ca4192
http://purl.obolibrary.org/obo/CL_1000414,located_in,http://purl.obolibrary.org/obo/UBERON_0004927
https://purl.org/ccf/ASCTB-TEMP_llc268,located_in,http://purl.obolibrary.org/obo/UBERON_0000955
http://purl.obolibrary.org/obo/UBERON_0012418,part_of,http://purl.obolibrary.org/obo/UBERON_0001592
http://identifiers.org/hgnc/3673,characterize,http://purl.obolibrary.org/obo/CL_0009072
http://purl.obolibrary.org/obo/CL_0000057,located_in,http://purl.obolibrary.org/obo/UBERON_0035462
https://purl.org/ccf/ASCTB-TEMP_dlnp92,is_a,http://purl.obolibrary.org/obo/CL_4023012
http://identifiers.org/hgnc/1674,characterize,https://purl.org/ccf/ASCTB-TEMP_myeloid-progenitor-mop
https://purl.org/ccf/ASCTB-TEMP_bulbourethral-artery,part_of,http://purl.obolibrary.org/obo/UBERON_0008320
https://purl.org/ccf/ASCTB-TEMP_b-cell,located_in,http://purl.obolibrary.org/obo/UBERON_8410010
http://identifiers.org/hgnc/24165,characterize,https://purl.org/ccf/ASCTB-TEMP_mge241
https://purl.org/ccf/ASCTB-TEMP_mast-cell,is_a,http://purl.obolibrary.org/obo/CL_0000000
http://purl.obolibrary.org/obo/CL_0000071,located_in,http://purl.org/sig/ont/fma/fma49660
http://purl.obolibrary.org/obo/CL_0001035,located_in,https://purl.org/ccf/ASCTB-TEMP_mandibular-canal-of-mandible
http://purl.obolibrary.org/obo/CL_4033003,located_in,http://purl.obolibrary.org/obo/UBERON_8600012
http://purl.org/sig/ont/fma/fma22914,part_of,http://purl.org/sig/ont/fma/fma22950
http://purl.obolibrary.org/obo/CL_0000071,located_in,https://purl.org/ccf/ASCTB-TEMP_sulcal-artery
http://purl.obolibrary.org/obo/CL_0000071,located_in,http://purl.org/sig/ont/fma/fma321542
http://purl.obolibrary.org/obo/CL_0000775,located_in,http://purl.obolibrary.org/obo/UBERON_0001069
